51300005513,cfg,71,89
51300006461,fec,47,75
51300075580,ffg,3,88
51300102784,gad,1,179
51300113857,dca,27,45
51300126455,ccc,87,219
51300132528,bfa,192,85
51300159334,bbf,261,173
51300164555,bcf,159,266
51300192577,cgd,288,130
51300243434,cgf,235,287
51300364002,cac,208,242
51300374317,bcc,283,15
51300437919,bca,257,49
51300479393,fcg,182,162
51300534710,fbc,271,223
51300547967,gad,123,146
51300563980,egc,181,270
51300582116,aae,186,33
51300630161,aeb,162,203
51300676036,gae,127,170
51300713721,eee,126,16
51300778667,bde,272,162
51300834180,eea,181,137
51300837986,dfa,15,120
51300870778,ced,179,287
51300903480,bcc,42,14
51300922043,fdd,9,116
51300935140,fgb,179,175
51300945287,aad,119,123
51300948667,gdb,77,98
51300952458,fbc,125,234
51301011978,fbb,64,175
51301080845,dcb,38,13
51301091931,agb,239,117
51301099482,edb,163,137
51301121896,dac,100,197
51301130039,acd,204,156
51301147458,ccf,242,111
51301169035,cbc,60,101
51301191646,ddg,57,37
51301203767,ecf,102,108
51301212987,agd,230,101
51301216303,cbb,54,204
51301279729,gag,281,284
51301327222,gga,188,94
51301343892,cbe,96,206
51301374639,dcg,269,188
51301393688,aac,144,101
51301444899,edf,51,76
51301524661,bce,133,242
51301547792,ccf,169,95
51301559969,egf,224,103
51301567112,egb,214,136
51301579806,aec,209,12
51301606435,edd,76,252
51301636646,dbg,51,146
51301659014,dea,174,203
51301666679,ced,241,264
51301694475,efd,163,58
51301763567,bdc,280,130
51301764068,afc,95,222
51301769124,bbd,184,299
51301799619,ffa,66,224
51301805029,afd,126,150
51301812245,fce,278,12
51301833883,cae,57,230
51301883011,edg,111,147
51301947316,bea,267,145
51301956133,ffe,275,166
51301971930,aef,44,89
51301988666,bgb,13,116
51301990709,ggf,249,14
51302012646,gcb,63,84
51302014207,fca,102,93
51302020447,gff,265,187
51302101120,abe,259,44
51302119310,aaf,19,169
51302130251,bbf,196,197
51302140336,bfe,96,110
51302168156,fgd,61,13
51302191890,fec,25,80
51302193052,afa,192,57
51302212666,adg,169,77
51302230913,ecf,16,128
51302281909,cag,235,293
51302295611,dac,47,222
51302312160,acc,221,74
51302317768,ffa,200,183
51302386096,ada,231,252
51302439171,eef,181,193
51302476945,gaf,24,155
51302479884,gdd,294,207
51302490323,bga,35,30
51302494866,cfg,194,98
51302505218,cdf,97,88
51302506236,dga,108,275
51302507874,fgg,78,116
51302522381,bgf,34,217
51302545084,fcg,173,131
51302563495,abd,223,190
51302579515,cfc,24,259
51302644290,fad,285,47
51302661720,ddg,246,42
51302673389,dgd,156,43
51302674753,aag,258,208
51302688263,bdb,289,186
51302717763,dee,267,101
51302784233,daa,229,182
51302800735,gca,131,65
